# Eg [keV]     gsf[1/MeV^3]   sigma_gsf[1/MeV^3]
3705.54     6.44334e-09     5.87163e-09
3725.86     7.17257e-09     6.54005e-09
3732.97     6.81131e-09     6.29753e-09
3735.63     7.42967e-09     7.12795e-09
3743.76     7.73397e-09     7.43355e-09
3757.04     7.08248e-09     6.82309e-09
3798.33     7.52046e-09     6.78561e-09
3812.08     7.44661e-09     6.82093e-09
3819.33     6.34826e-09     5.7393e-09
3824.38     7.51772e-09     6.85811e-09
3837.04     7.37958e-09     7.07578e-09
3845.83     7.38772e-09     7.06337e-09
3876.39     6.74579e-09     6.42975e-09
3881.55     7.77857e-09     6.94501e-09
3893.15     7.34807e-09     7.04005e-09
3907.78     6.58605e-09     5.94007e-09
3931.29     7.32069e-09     7.01159e-09
3932.18     7.1852e-09     6.43648e-09
3936.57     6.36722e-09     6.06498e-09
3946.15     7.18068e-09     6.85776e-09
3950.67     7.59204e-09     7.2158e-09
3956.87     6.48714e-09     6.18432e-09
3963.12     7.73738e-09     7.04872e-09
3965.32     7.40179e-09     6.71306e-09
3997.89     7.90474e-09     6.98977e-09
4002.56     7.01925e-09     6.69457e-09
4009.97     7.12245e-09     6.76425e-09
4020.58     7.73759e-09     7.3289e-09
4040.93     7.03531e-09     6.7028e-09
4041.81     6.52094e-09     6.19052e-09
4064.2     6.72322e-09     6.0315e-09
4078.61     7.89881e-09     7.16714e-09
4095.2     7.76668e-09     7.31083e-09
4101.88     6.75312e-09     6.40069e-09
4120.8     7.43274e-09     6.70645e-09
4130.76     7.20341e-09     6.78596e-09
4136.29     6.72494e-09     6.34634e-09
4159.81     6.95672e-09     6.57812e-09
4170.31     7.25661e-09     6.45424e-09
4170.96     7.42361e-09     6.63406e-09
4194.5     6.9163e-09     6.10411e-09
4195.6     7.09619e-09     6.62202e-09
4220.34     7.5425e-09     6.79893e-09
4231.07     6.93098e-09     6.20978e-09
4238.4     7.03783e-09     6.31475e-09
4261.19     7.75019e-09     6.88049e-09
4265.48     7.49727e-09     6.97307e-09
4270.28     7.65527e-09     6.81425e-09
4278.32     7.67284e-09     6.76681e-09
4281.08     7.21173e-09     6.72038e-09
4294.98     6.85462e-09     6.31076e-09
4315.61     7.65984e-09     7.06417e-09
4319.1     7.30576e-09     6.50821e-09
4326.29     7.4018e-09     6.57394e-09
4332.5     6.93469e-09     6.1277e-09
4338.83     8.78711e-09     7.71517e-09
4352.91     7.2915e-09     6.8117e-09
4384.16     9.07245e-09     7.95457e-09
4390.69     7.56571e-09     6.90521e-09
4396.81     8.08107e-09     7.04694e-09
4401.97     8.07161e-09     7.02954e-09
